Type,Question,Note,Subject,Randomize,View,Answers,Score,Penalty,Correct
SingleQuestion,"Which subject is designed to enable students gain a basic understanding of certain skills, abilities and attitudes that will make them become active citizens in the society?",,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,Mathematics,,,
,,,,,,Biology,,,
,,,,,,Social studies,,,1
,,,,,,Home economics,,,
,,,,,,Handwriting,,,
,,,,,,,,,
SingleQuestion,The following are general objectives of Social Studies EXCEPT ________.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,the ability to adapt to changing environment,,,
,,,,,,skill acquisition,,,
,,,,,,warfare,,,1
,,,,,,management of natural resources,,,
,,,,,,it helps us understand our culture,,,
,,,,,,,,,
SingleQuestion,One of these is NOT a benefit of studying the environment.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,it helps people to easily adapt to the various climatic conditions of states and countries,,,
,,,,,,"it helps to appreciate the transformation of tools, e.g. for farming, communication, cooking, and storage to modern ones",,,
,,,,,,it enables countries to strategically wage war against each other,,,1
,,,,,,it enables us to understand our environment.,,,
,,,,,,it enables us to easily identify and solve problems using the resources in the environment.,,,
,,,,,,,,,
SingleQuestion,Which of the following is defined as an awareness of the goals of one’s country?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,tension,,,
,,,,,,national disintegration,,,
,,,,,,goal post,,,
,,,,,,national consciousness,,,1
,,,,,,skill acquisition,,,
,,,,,,,,,
SingleQuestion,Which of the following refers to the way in which people with similar traits behave and interact in order to achieve a common goal?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,den,,,
,,,,,,affirmative behaviour,,,
,,,,,,group behaviour,,,1
,,,,,,united behaviour,,,
,,,,,,intercontinental behaviour,,,
,,,,,,,,,
SingleQuestion,The situation when citizens act their part nobly to defend their country or community is called an act of ______,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,defending,,,
,,,,,,community,,,
,,,,,,cleaning,,,
,,,,,,patriotism,,,1
,,,,,,escape,,,
,,,,,,,,,
SingleQuestion,A situation where a large number of people react to the occurrence of an action is known as ___________.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,mass shouting,,,
,,,,,,Mark’s action,,,
,,,,,,mast action,,,
,,,,,,mass action,,,1
,,,,,,individual action,,,
,,,,,,,,,
SingleQuestion,Which of the following is often used by unions to show their disapproval against government policies that are not favourable to the masses?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,protest march,,,1
,,,,,,protest strength,,,
,,,,,,fighting one another,,,
,,,,,,violent resolutions,,,
,,,,,,destruction of property,,,
,,,,,,,,,
SingleQuestion,Social Studies as a subject teaches us to ______.          ,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,become good citizens ,,,1
,,,,,,become bad students,,,
,,,,,,acquire negative values  ,,,
,,,,,,abandon our cultural heritage.,,,
,,,,,,learn how to steal,,,
,,,,,,,,,
SingleQuestion,"When students are allowed to talk to each other rather than always responding to the teacher during the teaching and learning process in a class, it is called ____________.                   ",,SOCIAL STUDIES,0,0,,0.5,0,
,                               ,,,,,noise making,,,
,,,,,,use of library resources,,,
,,,,,,discussion method   ,,,1
,,,,,,excursion method,,,
,,,,,,riding,,,
,,,,,,,,,
SingleQuestion,Social Studies makes every student to be aware of ____________.                   ,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,his or her immediate society,,,1
,,,,,,how to be intolerant,,,
,,,,,,the medicine to give a malaria patient,,,
,,,,,,the techniques for flying a plane,,,
,,,,,,how to become parents at the early age of 17,,,
,,,,,,,,,
SingleQuestion,We learn to imbibe the spirit of ____ via Social Studies.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,displeasure,,,
,,,,,,tolerance,,,1
,,,,,,disloyalty,,,
,,,,,,indiscipline,,,
,,,,,,intolerance,,,
,,,,,,,,,
SingleQuestion,Being aware of the environment we live in enables us play an important role in _______.                   ,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,running away from our country,,,
,,,,,,destroying the environment,,,
,,,,,,migrating illegally for greener pastures,,,
,,,,,,the protection of the environment,,,1
,,,,,,manufacturing sophisticated phones,,,
,,,,,,,,,
SingleQuestion,Social Studies will make us to ___ law and order including constituted authority.,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,blame,,,
,,,,,,disobey,,,
,,,,,,evade,,,
,,,,,,give up on,,,
,,,,,,respect,,,1
,,,,,,,,,
SingleQuestion,Necessary skills for solving our societal problems are acquired through ___________.                   ,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,social vices,,,
,,,,,,social evils,,,
,,,,,,Social Studies,,,1
,,,,,,societal problems,,,
,,,,,,none of the above,,,
,,,,,,,,,
SingleQuestion,Which of the following is not an effective way of teaching and learning Social Studies?,,SOCIAL STUDIES,0,0,,0.5,0,
,,,,,,enquiry method,,,
,,,,,,expository method,,,
,,,,,,disbursement method,,,1
,,,,,,observation method,,,
,,,,,,interview method,,,
,,,,,,,,,
