Type,Question,Note,Subject,Randomize,View,Answers,Score,Penalty,Correct
SingleQuestion,God punished the Egyptians with ten plagues before _____ allowed the Israelites to leave Egypt.,,CRS,0,0,,0.5,0,
,,,,,,King Nebuchadnezzar,,,
,,,,,,Pharaoh,,,1
,,,,,,Herod,,,
,,,,,,King Saul,,,
,,,,,,Joseph,,,
, ,,,,,,,,
SingleQuestion,Which was the first plague of Egypt?,,CRS,0,0,,0.5,0,
,,,,,,water turned to blood,,,1
,,,,,,lice and insects,,,
,,,,,,boils on people and animals,,,
,,,,,,swarms of locusts,,,
,,,,,,darkness over the land of Egypt.,,,
,,,,,,,,,
SingleQuestion,"During the 9th plague, there was darkness over the land of Egypt for ____ days.",,CRS,0,0,,0.5,0,
,,,,,,5,,,
,,,,,,4,,,
,,,,,,3,,,1
,,,,,,2,,,
,,,,,,1,,,
,,,,,,,,,
SingleQuestion,"In the fifth plague, disease and ____ came upon the animals.",,CRS,0,0,,0.5,0,
,,,,,,death,,,1
,,,,,,joy,,,
,,,,,,dancing,,,
,,,,,,sleep,,,
,,,,,,anger,,,
,,,,,,,,,
SingleQuestion,A great number of ____ came from River Nile and went into the streets and houses of the Egyptians.,,CRS,0,0,,0.5,0,
,,,,,,birds,,,
,,,,,,frogs,,,1
,,,,,,cars,,,
,,,,,,goats,,,
,,,,,,snails,,,
,,,,,,,,,
SingleQuestion,All the first born of the Egyptians and the first born of their cattle died during the ___ plague.,,CRS,0,0,,0.5,0,
,,,,,,6th,,,
,,,,,,7th,,,
,,,,,,8th,,,
,,,,,,9th ,,,
,,,,,,10th ,,,1
,,,,,,,,,
SingleQuestion,What did the locusts do?  They _____.,,CRS,0,0,,0.5,0,
,,,,,,warned Paharaoh,,,
,,,,,,sang for Pharaoh,,,
,,,,,,ate Pharaoh up,,,
,,,,,,ate up all green plants in Egypt,,,1
,,,,,,beat up Pharaoh’s son.,,,
,,,,,,,,,
SingleQuestion,Boils came upon the people and ____ in the 6th plague.,,CRS,0,0,,0.5,0,
,,,,,,spirits,,,
,,,,,,lions,,,
